# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/dutch-id-tour-n8-dames-4/,20190321,1,1,00:02:07,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190325,1,1,00:00:00,0.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190327,1,1,00:00:21,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190328,1,1,00:00:55,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190412,1,1,00:00:00,0.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190413,1,1,00:00:00,0.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190427,1,1,00:00:21,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190429,1,1,00:00:00,100.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190504,1,1,00:01:10,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190507,1,1,00:00:00,100.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190513,1,1,00:00:34,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190515,1,1,00:00:46,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190517,1,1,00:00:00,100.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190518,1,1,00:00:00,100.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190522,1,1,00:00:00,100.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190525,1,1,00:01:29,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190527,1,1,00:00:00,0.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190605,1,1,00:00:00,0.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190609,1,1,00:00:00,0.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190611,1,1,00:00:00,100.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190615,1,1,00:00:00,100.00%,100.00%
/dutch-id-tour-n8-dames-4/,20190617,1,1,00:00:24,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190618,1,1,00:01:25,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190619,1,1,00:01:22,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190620,1,1,00:00:04,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190625,1,1,00:00:30,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190629,1,1,00:00:09,0.00%,0.00%
/dutch-id-tour-n8-dames-4/,20190705,1,1,00:00:44,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181001,1,1,00:01:18,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181003,1,1,00:00:43,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181012,1,1,00:00:06,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181013,1,1,00:00:11,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181017,1,1,00:00:20,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181018,1,1,00:00:27,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181022,1,1,00:00:58,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181031,1,1,00:00:02,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181106,1,1,00:01:03,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181108,1,1,00:00:11,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181112,1,1,00:00:00,0.00%,100.00%
/dutch-id-trekking-hs-n360/,20181121,1,1,00:00:23,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181123,1,1,00:28:56,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181127,1,1,00:00:00,0.00%,100.00%
/dutch-id-trekking-hs-n360/,20181128,1,1,00:00:24,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181201,1,1,00:00:00,0.00%,100.00%
/dutch-id-trekking-hs-n360/,20181203,1,1,00:00:08,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181205,1,1,00:01:10,0.00%,0.00%
/dutch-id-trekking-hs-n360/,20181212,1,1,00:01:34,0.00%,0.00%
