# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/amslod-wellington-mx/,20190704,2,2,00:02:32,0.00%,50.00%
/amslod-wellington-mx/,20190708,2,2,00:00:48,0.00%,0.00%
/bakfiets-nl-cargobike-classic-kort-steps-nn7/,20190111,2,2,00:00:06,100.00%,50.00%
/bakfiets-nl-cargobike-classic-kort-steps-nn7/,20190310,2,1,00:00:04,0.00%,0.00%
/bakfiets-nl-cargobike-classic-kort-steps-nn7/,20190402,2,2,00:00:22,0.00%,50.00%
/bakfiets-nl-cargobike-classic-kort-steps-nn7/,20190702,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nn8/,20190402,2,2,00:00:22,0.00%,50.00%
/bakfiets-nl-cargobike-classic-kort-steps-nn8/,20190702,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190304,2,1,00:00:00,0.00%,50.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190310,2,1,00:00:04,0.00%,0.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190311,2,1,00:00:38,0.00%,0.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190326,2,1,00:00:12,0.00%,0.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190402,2,2,00:00:22,0.00%,0.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190609,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190615,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190617,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190618,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190621,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190627,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190703,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190704,2,2,00:00:00,0.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190706,2,2,00:00:00,0.00%,100.00%
/bakfiets-nl-cargobike-classic-kort-steps-nni/,20190709,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-lang-steps-n7/,20190315,2,2,00:00:09,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-n7/,20190414,2,2,00:00:17,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-n7/,20190502,2,2,00:00:14,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-n8-di2/,20190325,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-lang-steps-n8-di2/,20190404,2,2,00:00:20,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-nn7/,20190311,2,1,00:00:00,0.00%,50.00%
/bakfiets-nl-cargobike-classic-lang-steps-nn7/,20190402,2,2,00:00:21,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-nn7/,20190702,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-lang-steps-nn7/,20190703,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-lang-steps-nn8/,20181219,2,1,00:00:24,0.00%,50.00%
/bakfiets-nl-cargobike-classic-lang-steps-nn8/,20190402,2,2,00:00:21,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-nn8/,20190702,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-lang-steps-nn8/,20190706,2,1,00:00:17,0.00%,50.00%
/bakfiets-nl-cargobike-classic-lang-steps-nni/,20181001,2,2,00:00:06,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-nni/,20190402,2,2,00:00:20,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-nni/,20190702,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-classic-lang-steps-nuvinci/,20190407,2,2,00:00:15,0.00%,50.00%
/bakfiets-nl-cargobike-classic-lang-steps-nuvinci/,20190608,2,1,00:02:12,0.00%,0.00%
/bakfiets-nl-cargobike-classic-lang-steps-nuvinci/,20190611,2,1,00:00:39,0.00%,50.00%
/bakfiets-nl-cargobike-classic-lang-steps-nuvinci/,20190703,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn7/,20181205,2,2,00:00:49,100.00%,50.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn7/,20190303,2,1,00:02:25,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn7/,20190304,2,1,00:00:09,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn7/,20190306,2,1,00:00:00,0.00%,50.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn7/,20190313,2,2,00:06:15,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn7/,20190402,2,2,00:00:20,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn7/,20190702,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn8-2/,20190402,2,2,00:00:22,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn8-2/,20190702,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn8/,20181231,2,1,00:04:40,0.00%,50.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn8/,20190303,2,1,00:00:11,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn8/,20190306,2,1,00:00:21,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn8/,20190502,2,2,00:00:15,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn8/,20190602,2,2,00:00:19,0.00%,0.00%
/bakfiets-nl-cargobike-cruiser-kort-steps-nn8/,20190702,2,2,00:00:00,100.00%,100.00%
/bakfiets-nl-cargobike-cruiser-lang-steps-n7/,20190407,2,2,00:00:00,100.00%,100.00%
