# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/hercules-futura-compact-f8/,20190625,4,3,00:00:42,0.00%,25.00%
/hercules-futura-f8-gates-dames-trapez/,20181107,4,4,00:00:53,50.00%,25.00%
/hercules-futura-f8-gates-dames-trapez/,20190121,4,4,00:00:42,100.00%,25.00%
/hercules-futura-f8-gates-dames-trapez/,20190227,4,3,00:01:34,0.00%,50.00%
/hercules-futura-f8-gates-dames-trapez/,20190304,4,2,00:00:10,0.00%,25.00%
/hercules-futura-f8-gates-dames-trapez/,20190327,4,2,00:00:14,0.00%,0.00%
/hercules-futura-f8-gates-dames-trapez/,20190707,4,3,00:01:08,0.00%,25.00%
/hercules-futura-f8-gates-dames-trapez/,20190710,4,3,00:00:48,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20181107,4,4,00:00:48,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20181108,4,3,00:06:41,0.00%,25.00%
/hercules-futura-f8-gates-heren/,20190202,4,2,00:00:04,100.00%,25.00%
/hercules-futura-f8-gates-heren/,20190211,4,3,00:00:39,66.67%,75.00%
/hercules-futura-f8-gates-heren/,20190217,4,2,00:00:28,0.00%,25.00%
/hercules-futura-f8-gates-heren/,20190226,4,4,00:00:47,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20190302,4,2,00:01:07,0.00%,25.00%
/hercules-futura-f8-gates-heren/,20190303,4,2,00:00:00,0.00%,50.00%
/hercules-futura-f8-gates-heren/,20190305,4,2,00:00:11,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20190306,4,2,00:00:29,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20190312,4,2,00:00:00,0.00%,50.00%
/hercules-futura-f8-gates-heren/,20190416,4,2,00:00:32,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20190428,4,4,00:00:40,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20190502,4,4,00:00:17,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20190517,4,1,00:02:31,0.00%,0.00%
/hercules-futura-f8-gates-heren/,20190705,4,2,00:00:19,0.00%,0.00%
/hercules-futura-pro/,20181010,4,3,00:00:38,0.00%,0.00%
/hercules-futura-pro/,20181019,4,2,00:01:10,0.00%,0.00%
/hercules-futura-pro/,20190301,4,2,00:00:11,0.00%,0.00%
/hercules-futura-pro/,20190302,4,2,00:00:00,0.00%,50.00%
/hercules-futura-pro/,20190308,4,2,00:00:04,0.00%,25.00%
/hercules-futura-pro/,20190416,4,3,00:01:07,0.00%,0.00%
/hercules-futura-pro/,20190420,4,4,00:00:28,50.00%,50.00%
/hercules-futura-pro/,20190428,4,4,00:00:34,0.00%,25.00%
/hercules-futura-pro/,20190531,4,3,00:00:15,100.00%,50.00%
/hercules-futura-sport/,20181002,4,2,00:00:44,0.00%,25.00%
/hercules-futura-sport/,20181003,4,2,00:01:14,100.00%,25.00%
/hercules-futura-sport/,20181016,4,1,00:00:31,0.00%,25.00%
/hercules-futura-sport/,20181019,4,3,00:00:40,100.00%,25.00%
/hercules-futura-sport/,20190126,4,4,00:01:09,100.00%,25.00%
/hercules-futura-sport/,20190228,4,3,00:00:09,0.00%,25.00%
/hercules-futura-sport/,20190301,4,2,00:00:06,0.00%,25.00%
/hercules-futura-sport/,20190304,4,1,00:00:18,0.00%,0.00%
/hercules-futura-sport/,20190416,4,4,00:00:34,0.00%,0.00%
/hercules-futura-sport/,20190531,4,4,00:00:39,100.00%,75.00%
/hercules-futura-sport/,20190605,4,4,00:00:20,100.00%,75.00%
/hercules-futura-sport/,20190616,4,1,00:00:53,0.00%,25.00%
/hercules-jarvis-e-45/,20190602,4,4,00:00:12,100.00%,25.00%
/hercules-lyon-f7-heren/,20190409,4,2,00:00:22,100.00%,50.00%
/hercules-lyon-f7-heren/,20190704,4,3,00:00:22,0.00%,25.00%
/hercules-lyon-f7/,20181208,4,3,00:05:30,0.00%,25.00%
/hercules-lyon-f7/,20190216,4,2,00:02:34,0.00%,25.00%
/hercules-lyon-f7/,20190302,4,2,00:01:46,0.00%,0.00%
