# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/merida-e-spresso-city-511/,20190414,3,2,00:00:17,0.00%,0.00%
/merida-e-spresso-city-511/,20190503,3,3,00:00:46,0.00%,33.33%
/merida-e-spresso-city-511/,20190509,3,3,00:00:53,0.00%,33.33%
/merida-e-spresso-city-511/,20190620,3,3,00:00:00,100.00%,100.00%
/merida-e-spresso-city-511/,20190624,3,3,00:00:10,0.00%,66.67%
/merida-e-spresso-city-511/,20190627,3,3,00:00:18,0.00%,0.00%
/merida-e-spresso-city-511/,20190705,3,1,00:03:25,0.00%,33.33%
/merida-e-spresso-sport-510/,20181021,3,3,00:02:12,100.00%,33.33%
/merida-e-spresso-sport-510/,20181030,3,1,00:00:11,0.00%,33.33%
/merida-e-spresso-sport-510/,20181103,3,3,00:00:00,100.00%,100.00%
/merida-e-spresso-sport-510/,20181104,3,3,00:01:03,0.00%,0.00%
/merida-e-spresso-sport-510/,20181210,3,3,00:00:17,0.00%,0.00%
/merida-e-spresso-sport-510/,20181212,3,1,00:00:19,0.00%,33.33%
/merida-e-spresso-sport-510/,20181223,3,3,00:04:13,50.00%,66.67%
/merida-e-spresso-sport-510/,20190105,3,3,00:00:24,100.00%,33.33%
/merida-e-spresso-sport-510/,20190115,3,2,00:02:24,0.00%,33.33%
/merida-e-spresso-sport-510/,20190117,3,3,00:01:23,0.00%,33.33%
/merida-e-spresso-sport-510/,20190123,3,2,00:00:30,0.00%,0.00%
/merida-e-spresso-sport-510/,20190128,3,2,00:00:46,0.00%,0.00%
/merida-e-spresso-sport-510/,20190206,3,2,00:00:24,100.00%,33.33%
/merida-e-spresso-sport-510/,20190222,3,2,00:01:19,0.00%,0.00%
/merida-e-spresso-sport-510/,20190226,3,2,00:01:18,0.00%,0.00%
/merida-e-spresso-sport-510/,20190318,3,3,00:00:19,0.00%,33.33%
/merida-e-spresso-sport-510/,20190320,3,3,00:00:41,0.00%,0.00%
/merida-e-spresso-sport-510/,20190323,3,3,00:00:49,0.00%,0.00%
/merida-e-spresso-sport-510/,20190410,3,3,00:01:01,0.00%,33.33%
/merida-e-spresso-sport-510/,20190416,3,3,00:01:45,0.00%,0.00%
/merida-e-spresso-sport-510/,20190422,3,3,00:01:54,100.00%,66.67%
/merida-e-spresso-sport-510/,20190423,3,3,00:00:39,0.00%,33.33%
/merida-e-spresso-sport-510/,20190428,3,3,00:05:14,0.00%,33.33%
/merida-e-spresso-sport-510/,20190504,3,3,00:00:00,100.00%,100.00%
/merida-e-spresso-sport-510/,20190524,3,3,00:00:00,50.00%,100.00%
/merida-e-spresso-sport-510/,20190526,3,3,00:00:23,100.00%,33.33%
/merida-e-spresso-sport-510/,20190602,3,3,00:00:27,0.00%,0.00%
/merida-e-spresso-sport-510/,20190613,3,3,00:01:19,0.00%,0.00%
/merida-e-spresso-sport-510/,20190620,3,3,00:00:35,100.00%,33.33%
/merida-e-spresso-sport-510/,20190628,3,3,00:01:34,0.00%,33.33%
/merida-e-spresso-sport-510/,20190702,3,3,00:00:51,100.00%,66.67%
/merida-e-spresso-sport-510/,20190707,3,3,00:01:36,0.00%,0.00%
/merida-e-spresso-sport-511-3/,20181121,3,3,00:00:00,100.00%,100.00%
/merida-e-spresso-sport-511/,20181024,3,1,00:00:56,0.00%,0.00%
/merida-e-spresso-sport-511/,20181114,3,3,00:00:00,100.00%,100.00%
/merida-e-spresso-sport-511/,20181124,3,3,00:00:09,100.00%,66.67%
/merida-e-spresso-sport-511/,20181211,3,3,00:01:00,0.00%,0.00%
/merida-e-spresso-sport-511/,20190210,3,2,00:02:45,100.00%,33.33%
/merida-e-spresso-sport-511/,20190221,3,3,00:00:20,100.00%,33.33%
/merida-e-spresso-sport-511/,20190423,3,3,00:00:00,100.00%,100.00%
/merida-e-spresso-sport-511/,20190505,3,3,00:00:29,50.00%,66.67%
/merida-e-spresso-sport-511/,20190518,3,2,00:05:17,0.00%,0.00%
/merida-e-spresso-sport-511/,20190605,3,2,00:00:39,0.00%,66.67%
/merida-e-spresso-sport-511/,20190612,3,3,00:00:00,100.00%,100.00%
/merida-e-spresso-tour-511-2/,20181124,3,3,00:00:17,0.00%,0.00%
/merida-e-spresso-tour-511/,20181019,3,3,00:01:27,0.00%,66.67%
/merida-e-spresso-tour-511/,20181115,3,2,00:09:16,50.00%,33.33%
/merida-e-spresso-tour-511/,20190118,3,3,00:00:20,100.00%,33.33%
/merida-e-spresso-tour-511/,20190127,3,1,00:00:26,0.00%,0.00%
/merida-e-spresso-tour-511/,20190315,3,3,00:00:04,100.00%,66.67%
/merida-e-spresso-tour-511/,20190325,3,1,00:03:16,0.00%,0.00%
/merida-e-spresso-tour-511/,20190514,3,1,00:00:13,0.00%,0.00%
/merida-e-spresso-tour-511/,20190520,3,3,00:00:33,100.00%,33.33%
/merida-e-spresso-tour-511/,20190614,3,2,00:00:29,0.00%,0.00%
/merida-ebig-nine-500/,20181020,3,1,00:00:42,0.00%,33.33%
/merida-ebig-nine-500/,20181118,3,3,00:04:51,0.00%,0.00%
/merida-ebig-nine-500/,20181206,3,1,00:00:15,0.00%,33.33%
/merida-ebig-nine-900/,20181118,3,3,00:00:48,0.00%,33.33%
/merida-ebig-nine-xt-edition-2/,20181020,3,1,00:00:38,0.00%,0.00%
/merida-ebig-trail-800/,20181029,3,1,00:00:48,0.00%,33.33%
/merida-eone-sixty-800/,20190402,3,3,00:00:21,100.00%,66.67%
/merida-eone-sixty-800/,20190502,3,3,00:00:16,0.00%,0.00%
/merida-eone-sixty-800/,20190602,3,3,00:00:18,0.00%,0.00%
/merida-eone-sixty-900/,20181213,3,1,00:00:14,0.00%,0.00%
/merida-eone-sixty-900/,20181218,3,2,00:00:15,50.00%,66.67%
