# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/cannondale-mavaro-performance-1-men/,20181018,2,2,00:00:58,0.00%,50.00%
/cannondale-mavaro-performance-1-men/,20181020,2,2,00:00:30,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20181025,2,2,00:02:20,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20181101,2,2,00:01:12,0.00%,50.00%
/cannondale-mavaro-performance-1-men/,20181102,2,1,00:01:11,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20181110,2,2,00:01:01,100.00%,50.00%
/cannondale-mavaro-performance-1-men/,20181202,2,2,00:01:04,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20181218,2,1,00:01:28,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20190105,2,2,00:00:32,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20190110,2,2,00:00:29,0.00%,50.00%
/cannondale-mavaro-performance-1-men/,20190113,2,2,00:00:14,100.00%,50.00%
/cannondale-mavaro-performance-1-men/,20190130,2,2,00:01:01,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20190203,2,2,00:00:12,0.00%,50.00%
/cannondale-mavaro-performance-1-men/,20190213,2,2,00:01:01,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20190304,2,1,00:00:41,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20190312,2,1,00:00:00,0.00%,50.00%
/cannondale-mavaro-performance-1-men/,20190321,2,1,00:01:24,0.00%,50.00%
/cannondale-mavaro-performance-1-men/,20190326,2,2,00:00:26,100.00%,50.00%
/cannondale-mavaro-performance-1-men/,20190402,2,2,00:00:21,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20190404,2,1,00:00:20,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20190418,2,2,00:00:00,100.00%,100.00%
/cannondale-mavaro-performance-1-men/,20190511,2,1,00:00:51,0.00%,50.00%
/cannondale-mavaro-performance-1-men/,20190522,2,1,00:01:13,0.00%,0.00%
/cannondale-mavaro-performance-1-men/,20190603,2,1,00:01:48,0.00%,50.00%
/cannondale-mavaro-performance-1-men/,20190702,2,2,00:00:00,100.00%,100.00%
/cannondale-mavaro-performance-1-women/,20181004,2,2,00:00:06,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20181006,2,2,00:00:04,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20181013,2,2,00:01:58,100.00%,50.00%
/cannondale-mavaro-performance-1-women/,20181015,2,2,00:00:28,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20181016,2,2,00:00:55,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20181022,2,2,00:00:42,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20181026,2,2,00:00:28,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20181029,2,2,00:00:09,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20181105,2,2,00:00:44,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20181106,2,2,00:01:49,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20181114,2,1,00:00:11,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20181211,2,2,00:01:33,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190105,2,2,00:00:39,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190126,2,1,00:01:32,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190130,2,2,00:03:08,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190207,2,1,00:00:11,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190215,2,2,00:00:32,100.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190216,2,2,00:00:47,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190219,2,2,00:00:06,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190220,2,2,00:02:11,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190222,2,2,00:00:38,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190226,2,1,00:00:45,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190227,2,2,00:00:32,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190302,2,1,00:00:20,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190305,2,1,00:00:34,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190311,2,1,00:00:05,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190316,2,2,00:00:37,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190321,2,1,00:00:30,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190326,2,2,00:03:21,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190425,2,2,00:00:45,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190427,2,2,00:00:12,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190504,2,1,00:00:07,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190511,2,2,00:00:28,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190514,2,2,00:02:20,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190515,2,2,00:01:07,100.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190516,2,1,00:00:38,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190602,2,2,00:00:22,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190608,2,2,00:00:47,0.00%,50.00%
/cannondale-mavaro-performance-1-women/,20190623,2,1,00:00:20,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190704,2,2,00:00:00,0.00%,100.00%
/cannondale-mavaro-performance-1-women/,20190705,2,2,00:00:12,0.00%,0.00%
/cannondale-mavaro-performance-1-women/,20190708,2,1,00:00:54,0.00%,0.00%
/cannondale-mavaro-performance-3-city/,20181002,2,1,00:01:12,0.00%,50.00%
/cannondale-mavaro-performance-3-city/,20181008,2,2,00:00:43,0.00%,0.00%
/cannondale-mavaro-performance-3-city/,20181015,2,2,00:00:50,0.00%,0.00%
/cannondale-mavaro-performance-3-city/,20181020,2,2,00:00:29,0.00%,50.00%
/cannondale-mavaro-performance-3-city/,20181027,2,1,00:00:37,0.00%,0.00%
/cannondale-mavaro-performance-3-city/,20181028,2,2,00:00:00,100.00%,100.00%
