# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/?frametype[0]=extra-lage-instap&type[0]=elektrische-stadsfietsen&motorpositie[0]=in-het-voorwiel,20190406,1,1,00:00:18,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[0]=elektrische-vouwfiets,20190421,1,1,00:00:06,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[0]=elektrische-vouwfiets&modeljaar[0]=2018-e-bike-collectie,20190421,1,1,00:00:03,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[0]=elektrische-vouwfiets&modeljaar[0]=2018-e-bike-collectie&modeljaar[1]=2019-e-bike-collectie,20190421,1,1,00:00:04,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190519,1,1,00:01:10,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190521,1,1,00:01:03,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190607,1,1,00:06:28,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190612,1,1,00:00:42,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190613,1,1,00:00:22,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190617,1,1,00:00:27,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190622,1,1,00:00:00,0.00%,100.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190624,1,1,00:01:13,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190627,1,1,00:00:11,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor,20190703,1,1,00:00:48,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor&?tf=1,20190704,1,1,00:00:09,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelecs,20190517,1,1,00:00:01,0.00%,0.00%
/?frametype[0]=extra-lage-instap&type[1]=speed-pedelecs&motorpositie[0]=ebike-middenmotor,20190517,1,1,00:00:27,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&frametype[2]=universeel&accupositie[0]=aan-het-frame-zichtbaar&accupositie[1]=in-het-frame-weggewerkt&type_versnellingen[0]=naaf&type_versnellingen[1]=naafversnelling&orderby=price&order=ASC,20181101,1,1,00:00:48,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&frametype[2]=universeel&type_versnellingen[0]=naaf&type_versnellingen[1]=naafversnelling&orderby=price&order=ASC,20181101,1,1,00:00:22,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&frametype[2]=universeel&type[0]=elektrische-herenfietsen&type[1]=speed-pedelec&motorpositie[0]=in-het-midden&prijs[0]=2500-3000&prijs[1]=3000-3500&prijs[2]=3500-plus&orderby=price&order=DESC,20181026,1,1,00:00:31,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&frametype[2]=universeel&type[0]=elektrische-herenfietsen&type[1]=speed-pedelec&motorpositie[0]=in-het-midden&prijs[0]=3000-3500&prijs[1]=3500-plus&orderby=price&order=DESC,20181026,1,1,00:00:35,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&frametype[2]=universeel&type[0]=speed-pedelec&motorpositie[0]=in-het-midden&prijs[0]=3000-3500&prijs[1]=3500-plus&orderby=price&order=DESC,20181026,1,1,00:01:08,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&motorpositie[0]=in-het-midden,20181027,1,1,00:00:12,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&motorpositie[0]=in-het-midden&accupositie[0]=aan-het-frame-zichtbaar&accupositie[1]=in-het-frame-weggewerkt&orderby=price&order=ASC,20181008,1,1,00:00:44,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&motorpositie[0]=in-het-midden&motortechniek[1]=bosch-active-line,20181027,1,1,00:00:03,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&motorpositie[0]=in-het-midden&orderby=popularity&order=ASC,20181008,1,1,00:00:29,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&motorpositie[0]=in-het-midden&orderby=price&order=ASC,20181008,1,1,00:00:28,0.00%,0.00%
/?frametype[0]=heren&frametype[1]=elektrische-herenfietsen&type[0]=elektrische-herenfietsen&type[1]=elektrische-stadsfietsen&type[2]=elektrische-transportfietsen&type[3]=elektrische-vaderfietsen&motorpositie[0]=in-het-midden,20181027,1,1,00:00:35,0.00%,0.00%
/?frametype[0]=heren&frametype[2]=universeel&type[0]=speed-pedelec&modeljaar[0]=2019&type_versnellingen[0]=naaf,20181013,1,1,00:00:06,0.00%,0.00%
