# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/qwic-compact-mn7/,20190312,10,5,00:00:23,0.00%,10.00%
/qwic-compact-mn7/,20190410,10,10,00:01:04,66.67%,30.00%
/qwic-compact-mn7/,20190417,10,8,00:03:53,75.00%,70.00%
/qwic-compact-mn7/,20190422,10,8,00:00:54,33.33%,20.00%
/qwic-compact-mn7/,20190525,10,10,00:01:12,100.00%,30.00%
/qwic-compact-mn7/,20190609,10,8,00:00:40,100.00%,20.00%
/qwic-compact-mn7/,20190623,10,8,00:02:22,0.00%,30.00%
/qwic-compact-mn7/,20190628,10,10,00:01:00,0.00%,20.00%
/qwic-compact-mn7/,20190704,10,10,00:02:57,0.00%,20.00%
/qwic-performance-ma11-belt-speed-heren/,20190301,10,5,00:00:45,0.00%,20.00%
/qwic-performance-ma11-belt-speed-heren/,20190302,10,5,00:00:22,0.00%,20.00%
/qwic-performance-ma11-belt-speed-heren/,20190304,10,4,00:02:26,0.00%,0.00%
/qwic-performance-md11-dames/,20190310,10,5,00:00:19,0.00%,0.00%
/qwic-performance-mn380-dames/,20190304,10,3,00:00:20,0.00%,0.00%
/qwic-performance-mn380-dames/,20190309,10,4,00:00:08,0.00%,10.00%
/qwic-performance-mn380-heren/,20190305,10,5,00:00:14,0.00%,20.00%
/qwic-performance-rd10-dames/,20190301,10,4,00:00:14,0.00%,0.00%
/qwic-performance-rd10-dames/,20190310,10,5,00:00:24,0.00%,0.00%
/qwic-performance-rd10-dames/,20190602,10,10,00:00:19,0.00%,0.00%
/qwic-performance-rd10-heren/,20190111,10,7,00:03:54,0.00%,30.00%
/qwic-performance-rd10-heren/,20190304,10,5,00:00:28,0.00%,20.00%
/qwic-performance-rd10-heren/,20190309,10,4,00:00:34,0.00%,20.00%
/qwic-performance-rd10-heren/,20190317,10,7,00:00:25,100.00%,40.00%
/qwic-performance-rd10-heren/,20190702,10,10,00:00:00,90.00%,100.00%
/qwic-performance-rd10-speed-dames/,20190502,10,10,00:00:17,0.00%,10.00%
/qwic-performance-rd10-speed-heren/,20181021,10,10,00:02:39,100.00%,30.00%
/qwic-performance-rd10-speed-heren/,20181024,10,10,00:00:26,60.00%,80.00%
/qwic-performance-rd10-speed-heren/,20190201,10,8,00:01:59,33.33%,20.00%
/qwic-performance-rd10-speed-heren/,20190203,10,8,00:01:28,40.00%,40.00%
/qwic-performance-rd10-speed-heren/,20190207,10,9,00:01:01,66.67%,40.00%
/qwic-performance-rd10-speed-heren/,20190209,10,10,00:01:31,66.67%,30.00%
/qwic-performance-rd10-speed-heren/,20190302,10,5,00:00:11,0.00%,20.00%
/qwic-performance-rd10-speed-heren/,20190306,10,3,00:03:40,0.00%,20.00%
/qwic-performance-rd10-speed-heren/,20190602,10,10,00:00:19,0.00%,20.00%
/qwic-performance-rd11-heren/,20190309,10,5,00:03:17,0.00%,10.00%
/qwic-performance-rd11-heren/,20190312,10,4,00:00:10,0.00%,20.00%
/qwic-performance-rd11-speed-dames/,20190301,10,4,00:00:18,0.00%,20.00%
/qwic-performance-rd11-speed-heren/,20190309,10,3,00:00:16,0.00%,10.00%
/qwic-premium-fn7-1-heren/,20190702,10,10,00:04:55,100.00%,90.00%
/qwic-premium-ma8-heren/,20190303,10,4,00:00:18,0.00%,0.00%
/qwic-premium-mn330-dames/,20190304,10,4,00:00:32,0.00%,20.00%
/qwic-premium-mn330-dames/,20190309,10,5,00:02:39,0.00%,0.00%
/qwic-premium-mn7-dames/,20190112,10,6,00:00:40,0.00%,20.00%
/qwic-premium-mn7-dames/,20190113,10,7,00:01:47,100.00%,50.00%
/qwic-premium-mn7-dames/,20190308,10,5,00:00:06,0.00%,30.00%
/qwic-premium-mn7-dames/,20190310,10,5,00:00:09,0.00%,40.00%
/qwic-premium-mn7-dames/,20190323,10,9,00:03:57,80.00%,50.00%
/qwic-premium-mn7-dames/,20190701,10,6,00:04:14,0.00%,30.00%
/qwic-premium-mn7-dames/,20190706,10,10,00:03:17,0.00%,70.00%
/qwic-premium-mn7-vv-dames/,20190121,10,10,00:00:53,0.00%,20.00%
/qwic-premium-mn7-vv-dames/,20190212,10,10,00:01:26,0.00%,10.00%
/qwic-premium-mn7-vv-dames/,20190315,10,10,00:09:19,75.00%,60.00%
/qwic-premium-mn7-vv-dames/,20190317,10,8,00:01:19,0.00%,20.00%
/qwic-premium-mn7-vv-dames/,20190323,10,10,00:00:49,100.00%,60.00%
/qwic-premium-mn7-vv-dames/,20190405,10,8,00:03:23,0.00%,20.00%
/qwic-premium-mn7-vv-dames/,20190426,10,7,00:00:56,50.00%,30.00%
/qwic-premium-mn7-vv-dames/,20190501,10,10,00:00:51,33.33%,20.00%
/qwic-premium-mn7-vv-dames/,20190506,10,9,00:01:17,100.00%,30.00%
/qwic-premium-mn7-vv-dames/,20190528,10,9,00:02:19,50.00%,40.00%
/qwic-premium-mn7-vv-dames/,20190602,10,10,00:00:50,100.00%,20.00%
/qwic-premium-mn7-vv-dames/,20190607,10,8,00:04:56,0.00%,20.00%
/qwic-premium-mn7-vv-dames/,20190621,10,8,00:01:11,100.00%,50.00%
