# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/sparta-m8i-ltd-600wh-heren/,20190227,4,3,00:00:18,0.00%,0.00%
/sparta-m8i-ltd-600wh-heren/,20190228,4,3,00:00:40,0.00%,25.00%
/sparta-m8i-ltd-600wh-heren/,20190602,4,4,00:00:27,0.00%,25.00%
/sparta-m8s-500wh-2019-dames/,20190217,4,3,00:00:37,0.00%,25.00%
/sparta-m8s-500wh-2019-dames/,20190301,4,2,00:00:12,0.00%,0.00%
/sparta-m8s-500wh-2019-dames/,20190305,4,2,00:00:11,0.00%,25.00%
/sparta-m8s-500wh-2019-dames/,20190502,4,4,00:00:49,0.00%,25.00%
/sparta-m8s-500wh-2019-dames/,20190602,4,4,00:00:30,0.00%,0.00%
/sparta-m8s-500wh-2019-heren/,20190301,4,2,00:00:04,0.00%,0.00%
/sparta-m8s-500wh-2019-heren/,20190305,4,2,00:00:13,0.00%,0.00%
/sparta-m8s-500wh-2019-heren/,20190306,4,2,00:00:02,0.00%,25.00%
/sparta-m8s-di-2-500wh-2019-dames/,20181110,4,3,00:01:19,0.00%,25.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190116,4,4,00:00:32,0.00%,0.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190123,4,3,00:00:23,0.00%,0.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190205,4,3,00:04:00,0.00%,25.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190226,4,4,00:00:33,100.00%,50.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190301,4,2,00:00:00,0.00%,50.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190302,4,2,00:00:20,0.00%,0.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190304,4,2,00:00:17,0.00%,0.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190305,4,2,00:00:04,0.00%,25.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190306,4,2,00:00:18,0.00%,0.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190307,4,2,00:00:13,0.00%,0.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190317,4,4,00:00:27,0.00%,0.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190326,4,2,00:01:43,100.00%,25.00%
/sparta-m8s-di-2-500wh-2019-dames/,20190405,4,3,00:00:45,0.00%,0.00%
/sparta-m8s-di-2-500wh-2019-heren/,20190219,4,3,00:00:44,0.00%,25.00%
/sparta-m8s-di-2-500wh-2019-heren/,20190301,4,2,00:00:00,0.00%,50.00%
/sparta-m8s-di-2-500wh-2019-heren/,20190310,4,2,00:00:39,0.00%,0.00%
/sparta-m8tb-500-wh-2019-dames/,20181130,4,4,00:00:21,0.00%,25.00%
/sparta-m8tb-500-wh-2019-dames/,20181226,4,3,00:00:22,100.00%,50.00%
/sparta-m8tb-500-wh-2019-dames/,20181228,4,4,00:00:32,100.00%,25.00%
/sparta-m8tb-500-wh-2019-dames/,20190102,4,4,00:00:13,0.00%,25.00%
/sparta-m8tb-500-wh-2019-dames/,20190107,4,4,00:00:53,50.00%,25.00%
/sparta-m8tb-500-wh-2019-dames/,20190108,4,3,00:00:36,0.00%,0.00%
/sparta-m8tb-500-wh-2019-dames/,20190206,4,4,00:03:07,100.00%,75.00%
/sparta-m8tb-500-wh-2019-dames/,20190211,4,4,00:00:31,0.00%,25.00%
/sparta-m8tb-500-wh-2019-dames/,20190220,4,4,00:00:51,100.00%,50.00%
/sparta-m8tb-500-wh-2019-dames/,20190223,4,4,00:00:31,100.00%,50.00%
/sparta-m8tb-500-wh-2019-dames/,20190314,4,3,00:00:48,0.00%,25.00%
/sparta-m8tb-500-wh-2019-dames/,20190324,4,4,00:00:40,0.00%,0.00%
/sparta-m8tb-500-wh-2019-dames/,20190407,4,4,00:04:33,0.00%,75.00%
/sparta-m8tb-500-wh-2019-dames/,20190413,4,4,00:01:08,0.00%,25.00%
/sparta-m8tb-500-wh-2019-dames/,20190510,4,2,00:02:59,0.00%,50.00%
/sparta-m8tb-500-wh-2019-dames/,20190611,4,2,00:00:44,0.00%,0.00%
/sparta-m8tb-500-wh-2019-dames/,20190614,4,2,00:01:25,0.00%,25.00%
/sparta-m8tb-500-wh-2019-dames/,20190626,4,3,00:02:24,0.00%,50.00%
/sparta-m8tb-500-wh-2019-heren/,20181125,4,3,00:00:33,0.00%,0.00%
/sparta-m8tb-500-wh-2019-heren/,20181201,4,4,00:02:01,100.00%,50.00%
/sparta-m8tb-500-wh-2019-heren/,20190105,4,4,00:01:42,0.00%,25.00%
/sparta-m8tb-500-wh-2019-heren/,20190113,4,4,00:00:00,100.00%,100.00%
/sparta-m8tb-500-wh-2019-heren/,20190128,4,4,00:01:21,100.00%,25.00%
/sparta-m8tb-500-wh-2019-heren/,20190131,4,3,00:07:52,0.00%,25.00%
/sparta-m8tb-500-wh-2019-heren/,20190205,4,4,00:00:43,0.00%,25.00%
/sparta-m8tb-500-wh-2019-heren/,20190211,4,4,00:00:23,0.00%,50.00%
/sparta-m8tb-500-wh-2019-heren/,20190315,4,4,00:01:04,100.00%,50.00%
/sparta-m8tb-500-wh-2019-heren/,20190409,4,4,00:00:45,66.67%,50.00%
/sparta-m8tb-500-wh-2019-heren/,20190413,4,4,00:01:03,50.00%,75.00%
/sparta-m8tb-500-wh-2019-heren/,20190416,4,4,00:01:14,66.67%,75.00%
/sparta-m8tb-500-wh-2019-heren/,20190419,4,4,00:00:53,50.00%,25.00%
/sparta-m8tb-500-wh-2019-heren/,20190502,4,4,00:00:35,50.00%,50.00%
/sparta-m8tb-500-wh-2019-heren/,20190510,4,3,00:02:44,50.00%,50.00%
/sparta-m8tb-500-wh-2019-heren/,20190524,4,3,00:05:46,0.00%,25.00%
/sparta-m8tb-500-wh-2019-heren/,20190620,4,4,00:00:21,100.00%,25.00%
/sparta-m8tb-500-wh-2019-heren/,20190626,4,4,00:00:21,50.00%,50.00%
/sparta-m8tb-500-wh-2019-heren/,20190705,4,3,00:00:36,0.00%,25.00%
/sparta-m8ti-smart-2019-dames/,20181119,4,4,00:01:27,0.00%,0.00%
/sparta-m8ti-smart-2019-dames/,20181214,4,1,00:00:18,0.00%,0.00%
/sparta-m8ti-smart-2019-dames/,20190101,4,3,00:00:54,0.00%,25.00%
/sparta-m8ti-smart-2019-dames/,20190105,4,4,00:00:36,0.00%,0.00%
/sparta-m8ti-smart-2019-dames/,20190106,4,4,00:00:22,0.00%,25.00%
/sparta-m8ti-smart-2019-dames/,20190110,4,4,00:00:53,0.00%,0.00%
/sparta-m8ti-smart-2019-dames/,20190117,4,4,00:00:53,100.00%,25.00%
