# ----------------------------------------
# elektrischefietsen.com gefilterd
# Content Drilldown
# 20181001-20190710
# ----------------------------------------

Page path level 2,Date,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/?type[0]=speed-pedelec&orderby=price&order=ASC,20190503,1,1,00:00:10,0.00%,0.00%
/?type[0]=speed-pedelec&orderby=price&order=ASC,20190505,1,1,00:00:13,0.00%,0.00%
/?type[0]=speed-pedelec&orderby=price&order=ASC,20190508,1,1,00:00:06,0.00%,0.00%
/?type[0]=speed-pedelec&orderby=price&order=ASC,20190514,1,1,00:02:23,0.00%,0.00%
/?type[0]=speed-pedelec&orderby=price&order=ASC,20190517,1,1,00:00:40,0.00%,0.00%
/?type[0]=speed-pedelec&orderby=price&order=ASC,20190609,1,1,00:01:21,0.00%,0.00%
/?type[0]=speed-pedelec&orderby=price&order=ASC,20190611,1,1,00:00:22,0.00%,0.00%
/?type[0]=speed-pedelec&orderby=price&order=DESC,20181022,1,1,00:00:00,0.00%,100.00%
/?type[0]=speed-pedelec&prijs[0]=2000-2500&prijs[1]=2500-3000&prijs[2]=3000-3500,20190703,1,1,00:00:28,0.00%,0.00%
/?type[0]=speed-pedelec&type_versnellingen[0]=naaf,20181013,1,1,00:00:04,0.00%,0.00%
/?type[0]=speed-pedelecs,20190221,1,1,00:00:11,0.00%,0.00%
/?type[0]=speed-pedelecs,20190414,1,1,00:00:03,0.00%,0.00%
/?type[0]=speed-pedelecs&motorpositie[0]=in-het-achterwiel&orderby=price&order=ASC,20181229,1,1,00:00:00,0.00%,100.00%
/?type[0]=speed-pedelecs&motorpositie[0]=in-het-midden&accupositie[0]=in-het-frame-weggewerkt&modeljaar[0]=2018-e-bike-collectie&modeljaar[1]=2019-e-bike-collectie&fbclid=IwAR1HRztcXOcbSg0Hmx6nzWhnK5SnzqPtDfa4x5e61weSSyHWA8gPX4MTfio,20190122,1,1,00:00:00,100.00%,100.00%
/?type[0]=speed-pedelecs&motorpositie[0]=in-het-midden&orderby=price&order=ASC,20190317,1,1,00:00:03,0.00%,0.00%
/?type[0]=speed-pedelecs&motorpositie[0]=in-het-midden&orderby=price&order=ASC,20190407,1,1,00:01:15,0.00%,0.00%
/?type[0]=speed-pedelecs&motortechniek[0]=brose,20190319,1,1,00:00:04,0.00%,0.00%
/?type[0]=speed-pedelecs&motortechniek[0]=brose&modeljaar[0]=2018-e-bike-collectie&modeljaar[1]=2019-e-bike-collectie,20190319,1,1,00:00:06,0.00%,0.00%
/?type[0]=speed-pedelecs&motortechniek[0]=brose&modeljaar[1]=2019-e-bike-collectie,20190319,1,1,00:00:02,0.00%,0.00%
/?type[0]=speed-pedelecs&orderby=price&order=ASC,20190109,1,1,00:00:34,0.00%,0.00%
/?type[0]=speed-pedelecs&orderby=price&order=ASC,20190112,1,1,00:00:17,0.00%,0.00%
/?type[0]=speed-pedelecs&orderby=price&order=ASC,20190321,1,1,00:00:00,0.00%,100.00%
/?type[0]=speed-pedelecs&orderby=price&order=ASC,20190406,1,1,00:00:06,0.00%,0.00%
/?type[0]=speed-pedelecs&orderby=price&order=DESC,20190119,1,1,00:00:39,0.00%,0.00%
/?type[0]=speed-pedelecs&orderby=price&order=DESC,20190216,1,1,00:00:00,100.00%,100.00%
/?type[1]=elektrische-bakfietsen&type[2]=elektrische-damesfietsen&type[3]=elektrische-moederfietsen,20190319,1,1,00:00:20,0.00%,0.00%
/?type[1]=elektrische-bakfietsen&type[2]=elektrische-damesfietsen&type[3]=elektrische-moederfietsen&motorpositie[0]=in-het-achterwiel&motorpositie[1]=in-het-midden,20190319,1,1,00:00:10,0.00%,0.00%
/?type[1]=elektrische-bakfietsen&type[2]=elektrische-damesfietsen&type[3]=elektrische-moederfietsen&motorpositie[1]=in-het-midden,20190319,1,1,00:00:03,0.00%,0.00%
/?type[1]=elektrische-damesfietsen,20190403,1,1,00:00:26,0.00%,0.00%
/?type[1]=elektrische-damesfietsen&motorpositie[0]=in-het-midden&accupositie[0]=aan-het-frame-zichtbaar&accupositie[1]=in-het-frame-weggewerkt,20190317,1,1,00:00:49,0.00%,0.00%
/?type[1]=elektrische-damesfietsen&type[2]=elektrische-hybridefietsen&type[3]=elektrische-stadsfietsen&type[4]=elektrische-transportfietsen&type[5]=elektrische-vaderfietsen&motorpositie[0]=in-het-midden&motortechniek[0]=bosch&motortechniek[1]=bosch-active-line&accupositie[0]=in-het-frame-weggewerkt,20181015,1,1,00:00:02,0.00%,0.00%
/?type[1]=elektrische-damesfietsen&type[3]=elektrische-stadsfietsen&type[4]=elektrische-transportfietsen&type[5]=elektrische-vaderfietsen&motorpositie[0]=in-het-midden&motortechniek[0]=bosch&motortechniek[1]=bosch-active-line&accupositie[0]=in-het-frame-weggewerkt,20181015,1,1,00:00:02,0.00%,0.00%
