# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
Specialized Como 3.0 2019,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor,5,5,0,0.00
Speed Pedelecs [object HTMLSpanElement],/type/speed-pedelecs/,5,5,0,0.00
speed-pedelec,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&type[]=speed-pedelec&motorpositie[]=in-het-midden,5,5,0,0.00
speed-pedelec,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&type[]=speed-pedelec&motorpositie[]=in-het-achterwiel,5,5,0,0.00
Start de e-bike keuzehulp,/p/?frametype[]=extra-lage-instap&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor,5,5,0,0.00
Start de e-bike keuzehulp,/p/?motortechniek[]=shengyi,5,5,0,0.00
Start de e-bike keuzehulp,/p/?search=,5,5,0,0.00
Start E-bike Keuzehulp!,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor&prijs[]=1000-1500&prijs[]=1500-2000&?tf=1,5,4,0,0.00
Start E-bike Keuzehulp!,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=in-het-achterwiel,5,4,0,0.00
Start E-bike Keuzehulp!,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor,5,5,0,0.00
Start keuzehulp!,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=in-het-midden,5,5,0,0.00
Start keuzehulp!,/p/?search=,5,5,0,0.00
Statistieken [object HTMLLabelElement],/,5,5,0,0.00
Statistieken [object HTMLLabelElement],/p/,5,5,0,0.00
Stella Citta 2018,/p/?type[]=elektrische-vouwfiets,5,5,0,0.00
Stella Cosmo Superior FDST 2019,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=in-het-voorwiel,5,5,0,0.00
Stella fietsen,/p/?frametype[0]=elektrische-damesfietsen&type[1]=speed-pedelec&motorpositie[0]=in-het-achterwiel,5,4,0,0.00
Stromer ST1 600Wh Sport 45km,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&type[]=speed-pedelec&motorpositie[]=in-het-achterwiel,5,5,0,0.00
Stromer ST1 X 1000Wh 2019 Sport 45km,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&type[]=speed-pedelec&motorpositie[]=in-het-achterwiel,5,5,0,0.00
Stromer ST2 1000Wh 2018 Sport 45km [object HTMLSpanElement],/type/e-bike-testwinnaars-2018/page/2/,5,4,0,0.00
Stromer ST3 LTD 1000Wh 2019 Sport 45km,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&type[]=speed-pedelec&motorpositie[]=in-het-achterwiel,5,5,0,0.00
surveymonkey,/?s=kettler,5,5,0,0.00
surveymonkey,/2017/elektrische-fiets-opvoeren/,5,5,0,0.00
surveymonkey,/2018/waar-moet-je-op-letten-bij-het-maken-van-een-proefrit/,5,5,0,0.00
surveymonkey,/2019/actieradius-elektrische-fiets-wat-moet-je-weten/,5,5,0,0.00
surveymonkey,/2019/appverbod-op-de-fiets/,5,5,0,0.00
surveymonkey,/2019/tips-vergroot-de-actieradius/,5,5,0,0.00
surveymonkey,/accupositie/in-het-frame-weggewerkt/page/3/,5,5,0,0.00
surveymonkey,/disclaimer/,5,5,0,0.00
surveymonkey,/elektrische-fiets-opvoeren/,5,5,0,0.00
surveymonkey,/frametype/extra-lage-instap/page/2/,5,5,0,0.00
surveymonkey,/frametype/extra-lage-instap/page/2/?orderby=price&order=ASC,5,5,0,0.00
surveymonkey,/merken/?orderby=title&order=desc,5,5,0,0.00
surveymonkey,/merken/?search=minerva,5,5,0,0.00
surveymonkey,/merken/bikkel-bikes-elektrische-fietsen/,5,5,0,0.00
surveymonkey,/merken/bizobike-elektrische-fietsen/,5,5,0,0.00
surveymonkey,/merken/brinckers/,5,5,0,0.00
surveymonkey,/merken/giant/,5,5,0,0.00
surveymonkey,/merken/hercules-elektrische-fietsen/?tab=reviews,5,5,0,0.00
surveymonkey,/merken/oxford-elektrische-fietsen/?tab=reviews,5,5,0,0.00
surveymonkey,/merken/pegasus-elektrische-fietsen/?tab=reviews,5,5,0,0.00
surveymonkey,/merken/scott-elektrische-fietsen/,5,5,0,0.00
surveymonkey,/merken/sparta-elektrische-fietsen/?tab=reviews,5,4,0,0.00
surveymonkey,/merken/stella-elektrische-fietsen/,5,5,0,0.00
surveymonkey,/merken/stromer-elektrische-fietsen/?tab=reviews,5,4,0,0.00
surveymonkey,/merken/votani/,5,5,0,0.00
surveymonkey,/modeljaar/2019-e-bike-collectie/?orderby=title&order=ASC,5,5,0,0.00
surveymonkey,/modeljaar/2019-e-bike-collectie/page/18/,5,5,0,0.00
surveymonkey,/modeljaar/2019-e-bike-collectie/page/3/?orderby=price&order=DESC,5,5,0,0.00
