# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
Bosch Active Line Plus,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&prijs[0]=1000-1500&prijs[1]=1500-2000,2,2,0,0.00
Bosch Active Line Plus,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&prijs[0]=1000-1500&prijs[1]=1500-2000&?tf=1&score=22211130&orderby=price&order=ASC,2,2,0,0.00
Bosch Active Line Plus,/p/?merk[]=amslod-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=elektrische-fiets-dames&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor&motortechniek[]=bosch-active-line&motortechniek[]=bosch-active-line-plus&motortechniek[]=bosch-e-bike-motor&motortechniek[]=bosch-performance-line&motortechniek[]=bosch-performance-line-cx&accupositie[]=onder-de-bagagedrager&prijs[]=2000-2500&prijs[]=2500-3000,2,0,0,0.00
Bosch Active Line Plus,/p/?merk[]=batavus-elektrische-fietsen&merk[]=ebike-das-original&merk[]=koga-elektrische-fietsen&merk[]=sparta-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=in-het-achterwiel&prijs[]=2000-2500&prijs[]=2500-3000,2,2,0,0.00
Bosch Active Line Plus,/p/?merk[]=cube-elektrische-fietsen&merk[]=trek-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor&prijs[]=2000-2500&prijs[]=2500-3000,2,2,0,0.00
Bosch Active Line Plus,/p/?merk[]=gazelle-elektrische-fietsen&merk[]=rivel-elektrische-fietsen&merk[]=velo-de-ville-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor&prijs[]=2000-2500&prijs[]=2500-3000,2,2,0,0.00
Bosch Active Line Plus,/p/?merk[]=trek-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor&prijs[]=2000-2500&prijs[]=2500-3000,2,2,0,0.00
Bosch Active Line Plus,/p/?merk[]=victesse-elektrische-fietsen&motortechniek[]=bosch-active-line&motortechniek[]=bosch-active-line-plus&motortechniek[]=bosch-e-bike-motor&motortechniek[]=bosch-performance-line&motortechniek[]=bosch-performance-line-cx&motortechniek[]=bosch-performance-line-speed,2,0,0,0.00
Bosch Active Line Plus,/p/?merk[]=victesse-elektrische-fietsen&motortechniek[]=bosch-e-bike-motor,2,2,0,0.00
Bosch Active Line Plus,/p/?motorpositie[]=ebike-middenmotor,2,2,0,0.00
Bosch Active Line Plus,/p/?motorpositie[]=ebike-middenmotor&motorpositie[]=in-het-achterwiel&prijs[]=1500-2000&prijs[]=2000-2500,2,2,0,0.00
Bosch Active Line Plus,/p/?motorpositie[0]=ebike-middenmotor&?tf=1&score=131221,2,2,0,0.00
Bosch Active Line Plus,/p/?orderby=popularity&order=DESC,2,2,0,0.00
Bosch Active Line Plus,/p/?type[]=elektrische-moederfietsen&type[]=elektrische-vaderfietsen,2,2,0,0.00
Bosch Active Line Plus,/p/?type[]=elektrische-vouwfiets,2,2,0,0.00
Bosch Active Line Plus,/p/?type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&prijs[0]=2000-2500&prijs[1]=2500-3000&?tf=1&score=33231221,2,2,0,0.00
"Bosch Active Line Plus (50 Nm, 250 watt) De veelzijdige Active Line Plus is de optimale metgezel wanneer u nieuwe plaatsen wilt ontdekken en ook buiten de stadsgrenzen uitstapjes op uw e-bike wilt maken. [object HTMLLIElement]",/motorsystemen/,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[]=elektrische-damesfietsen&motortechniek[]=bosch-active-line-2&motortechniek[]=bosch-active-line-3&motortechniek[]=bosch-active-line-plus&motortechniek[]=bosch-active-line-plus-3&motortechniek[]=bosch-motor&motortechniek[]=bosch-performance-line&motortechniek[]=bosch-performance-line-cx&type_versnellingen[]=naaf,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-stadsfietsen&motorpositie[]=in-het-midden&motortechniek[]=bosch,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=in-het-midden,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=in-het-midden&orderby=price&order=ASC,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfietsen&motorpositie[0]=in-het-midden&orderby=price&order=ASC,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&orderby=price&order=ASC,2,2,0,0.00
Bosch Active Line Plus 3,/p/?frametype[0]=elektrische-herenfietsen&type[2]=elektrische-hybridefietsen&motorpositie[0]=in-het-midden&accupositie[0]=in-het-frame-weggewerkt,2,2,0,0.00
Bosch Active Line Plus 3,/p/?merk[]=a-bike-elektrische-fietsen&merk[]=altec-elektrische-fietsen&merk[]=ampler-bikes&merk[]=amslod-elektrische-fietsen&merk[]=bakfiets-elektrische-fietsen&merk[]=batavus-elektrische-fietsen&merk[]=besv-elektrische-fietsen&merk[]=bikkel-bikes-elektrische-fietsen&merk[]=bizobike-elektrische-fietsen&merk[]=brinckers-elektrische-fietsen&merk[]=brinke-elektrische-fietsen&merk[]=bsp-fietsen&merk[]=btwin-elektrische-fietsen&merk[]=cannondale-elektrische-fietsen&merk[]=clikebikes&merk[]=cortina-elektrische-fietsen&merk[]=cross-elektrische-fietsen&merk[]=cube-elektrische-fietsen&merk[]=dahon-elektrische-fietsen&merk[]=dutch-id-elektrische-fietsen&merk[]=e-bikez-elektrische-fietsen&merk[]=ebike-das-original&merk[]=eco-traveller-elektrische-fietsen&merk[]=flyer-elektrische-fietsen&merk[]=gazelle-elektrische-fietsen&merk[]=gepida-elektrische-fietsen&merk[]=giant-elektrische-fietsen&merk[]=gocycle-elektrische-fietsen&merk[]=hercules-elektrische-fietsen&merk[]=ideal-elektrische-fietsen&merk[]=kalkhoff-elektrische-fietsen&merk[]=keola-elektrische-fietsen&merk[]=kettler-elektrische-fietsen&merk[]=klever-elektrische-fietsen&merk[]=koga-elektrische-fietsen&merk[]=merida-elektrische-fietsen&merk[]=multicycle-elektrische-fietsen&merk[]=oxford-elektrische-fietsen&merk[]=pegasus-elektrische-fietsen&merk[]=popal-elektrische-fietsen&merk[]=pro-e-bike-elektrische-fietsen&merk[]=puch-elektrische-fietsen&merk[]=qwic-elektrische-fietsen&merk[]=rap-elektrische-fietsen&merk[]=riese-und-muller-elektrische-fietsen&merk[]=rivel-elektrische-fietsen&merk[]=rose-elektrische-fietsen&merk[]=stella-elektrische-fietsen&frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen,2,2,0,0.00
Bosch Active Line Plus 3,/p/?merk[]=dutch-id-elektrische-fietsen&merk[]=ebike-das-original&motorpositie[]=in-het-midden&motortechniek[]=bosch-active-line-plus-3,2,2,0,0.00
Bosch Active Line Plus 3,/p/?merk[]=gazelle-elektrische-fietsen&merk[]=sparta-elektrische-fietsen,2,2,0,0.00
Bosch Active Line Plus 3,/p/?merk[]=kalkhoff-elektrische-fietsen&frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=in-het-midden&motortechniek[]=bosch&motortechniek[]=bosch-active-line&motortechniek[]=bosch-active-line-2&motortechniek[]=bosch-active-line-3&motortechniek[]=bosch-active-line-plus&motortechniek[]=bosch-active-line-plus-3&motortechniek[]=bosch-motor&motortechniek[]=bosch-performance-line&motortechniek[]=bosch-performance-line-cx&motortechniek[]=bosch-performance-line-speed&accupositie[]=in-het-frame-weggewerkt,2,0,0,0.00
Bosch Active Line Plus 3,/p/?merk[]=pegasus&motorpositie[]=in-het-midden&motortechniek[]=bosch,2,2,0,0.00
Bosch Active Line Plus 3,/p/?motorpositie[]=ebike-middenmotor&motortechniek[]=bosch-motor&type_versnellingen[]=derailleur,2,2,0,0.00
Bosch E-bike Motor,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor,2,2,0,0.00
Bosch E-bike Motor,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=in-het-achterwiel&prijs[]=2000-2500&prijs[]=2500-3000&?tf=1&score=32231221,2,2,0,0.00
Bosch E-bike Motor,/p/?frametype[]=extra-lage-instap&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor&motortechniek[]=bosch-active-line-plus&motortechniek[]=bosch-performance-line&motortechniek[]=bosch-performance-line-cx&motortechniek[]=bosch-performance-line-speed&motortechniek[]=ion-e-bike-motor,2,2,0,0.00
Bosch E-bike Motor,/p/?frametype[]=extra-lage-instap&type[]=elektrische-hybridefietsen&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor,2,2,0,0.00
Bosch E-bike Motor,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&prijs[0]=1000-1500&prijs[1]=1500-2000,2,2,0,0.00
Bosch E-bike Motor,/p/?merk[]=batavus-elektrische-fietsen&merk[]=dutch-id-elektrische-fietsen&merk[]=gazelle-elektrische-fietsen&merk[]=giant-elektrische-fietsen&merk[]=koga-elektrische-fietsen&merk[]=merida-elektrische-fietsen&merk[]=qwic-elektrische-fietsen&merk[]=sparta-elektrische-fietsen&merk[]=trek-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor&prijs[]=2000-2500&prijs[]=2500-3000,2,2,0,0.00
Bosch E-bike Motor,/p/?merk[]=batavus-elektrische-fietsen&motortechniek[]=bosch-e-bike-motor,2,0,0,0.00
Bosch E-bike Motor,/p/?merk[]=cortina-elektrische-fietsen&motortechniek[]=bafang-e-bike-motor,2,2,0,0.00
Bosch E-bike Motor,/p/?merk[]=cube-elektrische-fietsen&merk[]=trek-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor&prijs[]=2000-2500&prijs[]=2500-3000,2,2,0,0.00
Bosch E-bike Motor,/p/?merk[]=riese-und-muller-elektrische-fietsen&motortechniek[]=bosch-e-bike-motor,2,2,0,0.00
Bosch E-bike Motor,/p/?merk[]=sparta-elektrische-fietsen,2,2,0,0.00
Bosch E-bike Motor,/p/?type[]=elektrische-moederfietsen&type[]=elektrische-vaderfietsen,2,2,0,0.00
Bosch motor,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor,2,2,0,0.00
Bosch motor,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-stadsfietsen&motorpositie[]=in-het-midden&motortechniek[]=bosch,2,2,0,0.00
Bosch motor,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor,2,2,0,0.00
Bosch motor,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-stadsfiets&motorpositie[]=in-het-midden,2,2,0,0.00
Bosch motor,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=in-het-midden&orderby=price&order=ASC,2,2,0,0.00
Bosch motor,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor,2,2,0,0.00
Bosch motor,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&orderby=price&order=ASC,2,2,0,0.00
Bosch motor,/p/?frametype[0]=elektrische-herenfietsen&type[2]=elektrische-hybridefietsen&motorpositie[0]=in-het-midden&accupositie[0]=in-het-frame-weggewerkt,2,2,0,0.00
Bosch motor,/p/?merk[]=cortina-elektrische-fietsen&merk[]=cube-elektrische-fietsen&merk[]=gazelle-elektrische-fietsen&merk[]=koga-elektrische-fietsen&merk[]=sparta-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=e-bike-testwinnaars-2019&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor&motortechniek[]=bosch&motortechniek[]=bosch-active-line&motortechniek[]=bosch-active-line-2&motortechniek[]=bosch-active-line-3&motortechniek[]=bosch-active-line-plus&motortechniek[]=bosch-active-line-plus-3&motortechniek[]=bosch-motor&motortechniek[]=bosch-performance-line&motortechniek[]=bosch-performance-line-cx&motortechniek[]=bosch-performance-line-speed&accupositie[]=onder-de-bagagedrager&modeljaar[]=2019-e-bike-collectie&modeljaar[]=2022-e-bike-collectie,2,0,0,0.00
Bosch motor,/p/?merk[]=cube-elektrische-fietsen&frametype[]=extra-lage-instap&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor,2,2,0,0.00
Bosch motor,/p/?merk[]=cube-elektrische-fietsen&merk[]=gazelle-elektrische-fietsen&merk[]=koga-elektrische-fietsen&merk[]=scott-elektrische-fietsen&merk[]=specialized-elektrische-fietsen&frametype[]=elektrische-damesfietsen&frametype[]=extra-lage-instap&motorpositie[]=in-het-midden&accupositie[]=aan-het-frame-zichtbaar&accupositie[]=in-het-frame-weggewerkt,2,2,0,0.00
