# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
Vergelijken,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-hybridefietsen,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=in-het-midden&modeljaar[0]=2019-e-bike-collectie&modeljaar[1]=2022-e-bike-collectie&orderby=price&order=DESC,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-hybridefietsen&prijs[0]=2000-2500&prijs[1]=2500-3000&?tf=1,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&modeljaar[0]=2019-e-bike-collectie&aantal_versnellingen[0]=5&aantal_versnellingen[1]=6&aantal_versnellingen[2]=7&type_versnellingen[0]=naafversnelling&type_versnellingen[1]=nuvinci&prijs[0]=1500-2000&orderby=price&order=ASC,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&motorpositie[1]=in-het-achterwiel&motorpositie[2]=in-het-voorwiel&orderby=price&order=ASC,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=in-het-achterwiel&orderby=price&order=ASC,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-damesfietsen&type[0]=elektrische-stadsfiets&motorpositie[0]=in-het-midden&orderby=price&order=ASC,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=in-het-midden,2,2,0,0.00
Vergelijken,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&prijs[0]=2000-2500&?tf=1&score=30131211,2,2,0,0.00
Vergelijken,/p/?merk[]=batavus-elektrische-fietsen&merk[]=gazelle-elektrische-fietsen&merk[]=giant-elektrische-fietsen&merk[]=scott-elektrische-fietsen,2,2,0,0.00
Vergelijken,/p/?merk[]=batavus&merk[]=koga-elektrische-fietsen&merk[]=qwic&merk[]=sparta&merk[]=velo-de-ville&frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=in-het-midden&type_versnellingen[]=naaf&type_versnellingen[]=naaf-nuvinci,2,2,0,0.00
Vergelijken,/p/?merk[]=dutch-id-elektrische-fietsen&merk[]=sparta-elektrische-fietsen&motorpositie[]=in-het-midden&motortechniek[]=bosch-active-line-plus-3&accupositie[]=in-het-frame-weggewerkt&modeljaar[]=2019-e-bike-collectie&type_versnellingen[]=naaf&prijs[]=3000-3500,2,2,0,0.00
Vergelijken,/p/?merk[]=ebike-das-original&merk[]=flyer-elektrische-fietsen&motortechniek[]=bosch-active-line-plus&motortechniek[]=brose-e-bike-motor&motortechniek[]=panasonic-e-bike-motor&accupositie[]=in-het-frame-weggewerkt,2,2,0,0.00
Vergelijken,/p/?merk[]=giant-elektrische-fietsen&frametype[]=elektrische-damesfietsen&type[]=e-bike-testwinnaars-2019&type[]=elektrische-stadsfiets&motortechniek[]=bosch-active-line-3&accupositie[]=onder-de-bagagedrager&modeljaar[]=2019-e-bike-collectie,2,0,0,0.00
Vergelijken,/p/?merk[]=giant-elektrische-fietsen&modeljaar[]=2019-e-bike-collectie,2,2,0,0.00
Vergelijken,/p/?merk[]=hercules-elektrische-fietsen,2,0,0,0.00
Vergelijken,/p/?merk[]=kalkhoff-elektrische-fietsen,2,2,0,0.00
Vergelijken,/p/?merk[]=sparta-elektrische-fietsen&motortechniek[]=bosch-e-bike-motor,2,2,0,0.00
Vergelijken,/p/?merk[]=vogue-bike-elektrische-fietsen,2,2,0,0.00
Vergelijken,/p/?merk[0]=amslod-elektrische-fietsen&motorpositie[0]=in-het-midden,2,2,0,0.00
Vergelijken,/p/?merk[0]=cube-elektrische-fietsen&merk[1]=flyer-elektrische-fietsen&merk[2]=pegasus-elektrische-fietsen&frametype[0]=elektrische-herenfietsen&motorpositie[0]=ebike-middenmotor&motortechniek[0]=bafang&motortechniek[1]=bosch-performance-line-cx&motortechniek[2]=panasonic&motortechniek[3]=shimano-steps-e8000,2,2,0,0.00
Vergelijken,/p/?motorpositie[]=ebike-middenmotor&accupositie[]=onder-de-bagagedrager,2,2,0,0.00
Vergelijken,/p/?motorpositie[0]=ebike-middenmotor&orderby=price&order=ASC,2,2,0,0.00
Vergelijken,/p/?motortechniek[0]=bosch-active-line-plus&motortechniek[1]=bosch-active-line-plus-3&motortechniek[2]=bosch-performance-line&motortechniek[3]=bosch-performance-line-cx&motortechniek[4]=bosch-performance-line-speed&motortechniek[5]=impulse-2-0&motortechniek[6]=panasonic&motortechniek[7]=shimano-steps-e6000&motortechniek[8]=yamaha&aantal_versnellingen[0]=traploos&aantal_versnellingen[1]=4&aantal_versnellingen[2]=5&aantal_versnellingen[3]=6&aantal_versnellingen[4]=7&type_versnellingen[0]=naafversnelling&orderby=price&order=ASC,2,2,0,0.00
Vergelijken,/p/?orderby=price&order=ASC,2,2,0,0.00
Vergelijken,/p/?search=Ampler+curt,2,2,0,0.00
Vergelijken,/p/?search=Belgocycle,2,2,0,0.00
Vergelijken,/p/?search=Cube,2,2,0,0.00
Vergelijken,/p/?search=Gazelle&orderby=price&order=ASC,2,0,0,0.00
Vergelijken,/p/?search=Giant+entour,2,2,0,0.00
Vergelijken,/p/?search=Hercules,2,2,0,0.00
Vergelijken,/p/?search=Impulse,2,2,0,0.00
Vergelijken,/p/?search=Qwic,2,2,0,0.00
Vergelijken,/p/?search=Sparta+m8,2,0,0,0.00
Vergelijken,/p/?search=Trek,2,2,0,0.00
Vergelijken,/p/?search=Trek+um5+,2,2,0,0.00
Vergelijken,/p/?search=Velours,2,2,0,0.00
Vergelijken,/p/?search=Vore+phaton,2,2,0,0.00
Vergelijken,/p/?type[]=e-bike-testwinnaars-2018&type[]=e-bike-testwinnaars-2019&motorpositie[]=ebike-middenmotor,2,2,0,0.00
Vergelijken,/p/?type[]=elektrische-bakfiets,2,2,0,0.00
Vergelijken,/p/?type[]=elektrische-moederfietsen&motorpositie[]=in-het-achterwiel&motorpositie[]=in-het-midden,2,2,0,0.00
Vergelijken,/p/?type[]=elektrische-moederfietsen&type[]=elektrische-vaderfietsen&prijs[]=1000-1500&prijs[]=1500-2000&?tf=1,2,2,0,0.00
Vergelijken,/p/?type[]=elektrische-moederfietsen&type[]=elektrische-vaderfietsen&prijs[]=1000-1500&prijs[]=1500-2000&?tf=1&score=20008210,2,2,0,0.00
Vergelijken,/p/?type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor,2,2,0,0.00
Vergelijken,/p/?type[0]=elektrische-stadsfiets&motorpositie[0]=in-het-midden,2,2,0,0.00
Vergelijken,/p/?type[0]=elektrische-stadsfiets&motorpositie[0]=in-het-midden&orderby=price&order=ASC,2,2,0,0.00
Vergelijken,/p/?type[0]=elektrische-vouwfiets,2,2,0,0.00
Vergelijken,/p/?type[1]=elektrische-vaderfietsen&prijs[0]=3000-3500&prijs[1]=3500-plus&?tf=1&score=40008130,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/?fbclid=IwAR1NT4VtDEJ_d6fyV6rDsk19PKinDwYbo3ue7SiJGc3fVPr7Xr2U3oz2c1k,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/?fbclid=IwAR3Q6D_ZL6UEpKevgFk2bftHyc1NRLTPm9QS8ExGv-eqx4uPzhnY6UN0RlA,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/2016/fiets-experience-center-in-ede-geopend/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/2016/nieuw-de-rs-en-ts-serie-uit-flyers-high-speed-range/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/2018/ad-fietstest-2018/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/2019/elektrischefietsen-com-is-vernieuwd/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/2019/hoe-fiets-je-langer-met-je-accu/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/merken/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/merken/bsp-fietsen/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/merken/forza-elektrische-fietsen/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/merken/qwic/untitled-1-2/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/p/?merk[]=a-bike&type[]=elektrische-damesfietsen&motortechniek[]=bosch&accupositie[]=in-het-frame-weggewerkt&type_versnellingen[]=naaf-nuvinci,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/p/ampler-bikes-stout/,2,2,0,0.00
Vergelijken [object HTMLSpanElement],/p/velo-de-ville-ceb-800-26-en-28/,2,2,0,0.00
Vergelijken E-bike tests Nieuws [object HTMLDivElement],/2016/nieuw-de-rs-en-ts-serie-uit-flyers-high-speed-range/,2,2,0,0.00
