# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-herenfietsen&type[]=elektrische-stadsfietsen&motorpositie[]=in-het-midden,2,0,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-herenfietsen&type[]=elektrische-stadsfietsen&motorpositie[]=in-het-midden&aantal_versnellingen[]=traploos&aantal_versnellingen[]=7&aantal_versnellingen[]=8,2,0,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-herenfietsen&type[]=elektrische-stadsfietsen&motorpositie[]=in-het-midden&aantal_versnellingen[]=traploos&aantal_versnellingen[]=7&aantal_versnellingen[]=8&prijs[]=1500-2000&prijs[]=2000-2500,2,0,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-herenfietsen&type[]=elektrische-stadsfietsen&motorpositie[]=in-het-midden&aantal_versnellingen[]=traploos&aantal_versnellingen[]=7&aantal_versnellingen[]=8&type_versnellingen[]=naaf&type_versnellingen[]=naaf-nuvinci&type_versnellingen[]=naafversnelling&type_versnellingen[]=nuvinci&prijs[]=1500-2000&prijs[]=2000-2500,2,0,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen,2,0,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor&accupositie[]=in-het-frame-weggewerkt&modeljaar[]=2019-e-bike-collectie&prijs[]=2000-2500,2,2,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor&accupositie[]=onder-de-bagagedrager&type_versnellingen[]=derailleur&type_versnellingen[]=naafversnelling,2,0,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor&prijs[]=0-1000,2,2,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor&prijs[]=1000-1500&prijs[]=1500-2000&?tf=1&score=4221110,2,2,0,0.00
Filter,/p/?frametype[]=elektrische-herenfietsen&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor&prijs[]=1500-2000,2,2,0,0.00
